A,B,G,H,I,X,Y,Z,E,C of E2Z2_sub,D of E2Z2_sub,F of E2Z2_sub,N of E2Z2_sub,J,K,C of cdfn_dim2,D of cdfn_dim2,F of cdfn_dim2,N of cdfn_dim2,C,D,F,N,C of E1Z1_sub,D of E1Z1_sub,F of E1Z1_sub,J of E1Z1_X2Y2,K of E1Z1_X2Y2,C of cdf_dim1,D of cdf_dim1,F of cdf_dim1,J of dtJK,K of dtJK,J of E1Z1_X2Y1,J of dtJ,K of E1Z1_X1Y2,K of dtK,C of E1Z2_sub,D of E1Z2_sub,F of E1Z2_sub,N of E1Z2_sub,J of E1Z2_X2Y2,K of E1Z2_X2Y2,C of cdfn_dim1,D of cdfn_dim1,F of cdfn_dim1,N of cdfn_dim1,J of E1Z2_X2Y1,K of E1Z2_X1Y2,C of E2Z1_sub,D of E2Z1_sub,F of E2Z1_sub,J of E2Z1_X2Y2,K of E2Z1_X2Y2,C of cdf_dim2,D of cdf_dim2,F of cdf_dim2,J of E2Z1_X2Y1,K of E2Z1_X1Y2
L3,L2,L1,L3,L1,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L2,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L3,L2,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L1,L2,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L1,L1,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L3,L1,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L1,L1,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L3,L2,L1,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L1,L2,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L1,L1,L2,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L1,L3,L1,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L3,L1,L3,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L2,L2,L2,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L3,L3,L1,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L1,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L1,L1,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L2,L2,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L2,L3,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L3,L2,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L1,L3,L3,L1,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L1,L1,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L2,L3,L2,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L3,L1,L3,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L3,L1,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L1,L3,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L1,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L2,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L3,L2,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L2,L3,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L3,L2,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L3,L1,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L1,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L3,L2,L1,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L2,L2,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L3,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L3,L2,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L3,L2,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L1,L1,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L1,L3,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L3,L1,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L1,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L3,L2,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L2,L3,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L1,L2,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L1,L3,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L2,L3,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L2,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L1,L1,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L2,L2,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L3,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L2,L2,L2,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L3,L1,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L2,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L1,L1,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L3,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L3,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L2,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L2,L1,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L1,L2,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L2,L1,L2,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L2,L2,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L1,L1,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L1,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L1,L1,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L1,L2,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L3,L1,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L2,L1,L2,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L2,L1,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L2,L1,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L3,L3,L2,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L2,L1,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L3,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L2,L3,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L3,L2,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L2,L1,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L1,L1,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L3,L1,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L3,L1,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L2,L1,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L1,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L3,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L3,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L2,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L3,L2,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L1,L3,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L2,L3,L2,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L3,L1,L1,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L3,L1,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L2,L1,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L3,L2,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L3,L2,L2,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L1,L2,L1,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L1,L2,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L3,L1,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L2,L3,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L3,L3,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L3,L3,L2,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L1,L1,L1,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L3,L1,L2,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L3,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L1,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L3,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L1,L3,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L1,L1,L1,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L2,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L2,L2,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L1,L1,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L1,L2,L2,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L3,L3,L1,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L3,L2,L2,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L3,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L1,L2,L2,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L1,L1,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L3,L1,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L1,L3,L2,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L3,L1,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L2,L1,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L1,L3,L1,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L2,L3,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L1,L2,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L3,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L2,L2,L3,L1,L2,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L2,L1,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L3,L3,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L3,L3,L2,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L3,L2,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L2,L1,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L3,L2,L3,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L2,L3,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L1,L2,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L3,L3,L1,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L1,L2,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L3,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L3,L3,L2,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L2,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L1,L1,L1,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L1,L2,L1,L1,L2,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L1,L1,L3,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L1,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L2,L1,L3,L2,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L1,L2,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L3,L3,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L3,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L3,L2,L1,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L2,L3,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L2,L2,L1,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L3,L3,L1,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L3,L2,L2,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L2,L1,L1,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L3,L2,L2,L1,L2,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L2,L3,L1,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L1,L2,L2,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L1,L2,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L3,L3,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L1,L2,L1,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L3,L3,L1,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L2,L3,L1,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L2,L1,L2,L1,L2,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L3,L2,L1,L1,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L2,L2,L2,L2,L2,L2,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L2,L2,L1,L1,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L1,L3,L1,L3,L2,L2,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L1,L2,L2,L2,L2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L2,L1,L3,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L3,L3,L2,L2,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L1,L2,L2,L1,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,L1,L2,L2,L2,L1,L1,L1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L3,L1,L1,L2,L2,L1,L1,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,L3,L1,L3,L1,L2,L1,L2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
